8379	2023-09-25 00:00:00	0.000000	0.000000	0.000000
8379	2023-10-02 00:00:00	0.000000	0.000000	0.000000
8379	2023-10-09 00:00:00	0.000000	0.000000	0.000000
8379	2023-10-16 00:00:00	0.000000	0.000000	0.000000
8379	2023-10-23 00:00:00	0.000000	0.000000	0.000000
8379	2023-10-30 00:00:00	0.000000	0.000000	0.000000
8379	2023-11-06 00:00:00	0.000000	0.000000	0.000000
8379	2023-11-13 00:00:00	0.000000	0.000000	0.000000
8379	2023-11-20 00:00:00	0.000000	0.000000	0.000000
8379	2023-11-27 00:00:00	0.000000	0.000000	0.000000
8379	2023-12-04 00:00:00	0.000000	0.000000	0.000000
8379	2023-12-11 00:00:00	0.000000	0.000000	0.000000
8379	2023-12-18 00:00:00	0.000000	0.000000	0.000000
8379	2023-12-25 00:00:00	0.000000	0.000000	0.000000
8379	2024-01-01 00:00:00	0.000000	0.000000	0.000000
8379	2024-01-08 00:00:00	0.000000	0.000000	0.000000
8379	2024-01-15 00:00:00	0.000000	0.000000	0.000000
8379	2024-01-22 00:00:00	0.000000	0.000000	0.000000
8379	2024-01-29 00:00:00	0.000000	0.000000	0.000000
8379	2024-02-05 00:00:00	0.000000	0.000000	0.000000
8379	2024-02-12 00:00:00	0.000000	0.000000	0.000000
8379	2024-02-19 00:00:00	0.000000	0.000000	0.000000
8379	2024-02-26 00:00:00	0.000000	0.000000	0.000000
8379	2024-03-04 00:00:00	0.000000	0.000000	0.000000
8379	2024-03-11 00:00:00	0.000000	0.000000	0.000000
8379	2024-03-18 00:00:00	0.000000	0.000000	0.000000
8379	2024-03-25 00:00:00	0.000000	0.000000	0.000000
8379	2024-04-01 00:00:00	0.000000	0.000000	0.000000
8379	2024-04-08 00:00:00	0.000000	0.000000	0.000000
8379	2024-04-15 00:00:00	0.000000	0.000000	0.000000
8379	2024-04-22 00:00:00	0.000000	0.000000	0.000000
8379	2024-04-29 00:00:00	0.000000	0.000000	0.000000
8379	2024-05-06 00:00:00	0.000000	0.000000	0.000000
8379	2024-05-13 00:00:00	0.000000	0.000000	0.000000
8379	2024-05-20 00:00:00	0.000000	0.000000	0.000000
8379	2024-05-27 00:00:00	0.000000	0.000000	0.000000
8379	2024-06-03 00:00:00	0.000000	0.000000	0.000000
8379	2024-06-10 00:00:00	0.000000	0.000000	0.000000
8379	2024-06-17 00:00:00	29360.000000	3.992960	0.000000
8379	2024-06-24 00:00:00	106760.000000	14.519360	0.000000
8379	2024-07-01 00:00:00	121510.000000	16.525360	0.000000
8379	2024-07-08 00:00:00	112950.000000	15.361200	0.000000
8379	2024-07-15 00:00:00	114130.000000	15.521680	0.000000
8379	2024-07-22 00:00:00	103050.000000	14.014800	0.000000
8379	2024-07-29 00:00:00	107950.000000	14.681200	0.000000
8379	2024-08-05 00:00:00	105730.000000	14.379280	0.000000
8379	2024-08-12 00:00:00	106130.000000	14.433680	0.000000
8379	2024-08-19 00:00:00	106980.000000	14.549280	0.000000
8379	2024-08-26 00:00:00	96020.000000	13.058720	0.000000
8379	2024-09-02 00:00:00	110830.000000	15.072880	0.000000
8379	2024-09-09 00:00:00	106320.000000	14.459520	0.000000
8379	2024-09-16 00:00:00	108090.000000	14.700240	0.000000
8379	2024-09-23 00:00:00	106270.000000	14.452720	0.000000
8379	2024-09-30 00:00:00	95660.000000	13.009760	0.000000
8379	2024-10-07 00:00:00	102730.000000	13.971280	0.000000
8379	2024-10-14 00:00:00	102810.000000	13.982160	0.000000
8379	2024-10-21 00:00:00	99070.000000	13.473520	0.000000
8379	2024-10-28 00:00:00	94620.000000	12.868320	0.000000
8379	2024-11-04 00:00:00	89410.000000	12.159760	0.000000
8379	2024-11-11 00:00:00	139380.000000	18.955680	0.000000
